mpg,displacement,horsepower,weight,acceleration,cylinders_4,cylinders_5,cylinders_6,cylinders_8,origin_2,origin_3,model_year_71,model_year_72,model_year_73,model_year_74,model_year_75,model_year_76,model_year_77,model_year_78,model_year_79,model_year_80,model_year_81,model_year_82
9.0,304,193,4732,18,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27.0,97,88,2130,14,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
28.0,140,90,2264,15,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
25.0,113,95,2228,14,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
25.0,98,93,2046,19,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
19.0,232,100,2634,13,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
16.0,225,105,3439,15,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17.0,250,100,3329,15,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
19.0,250,88,3302,15,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
18.0,232,100,3288,15,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
14.0,350,165,4209,12,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
14.0,400,175,4464,11,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
14.0,351,153,4154,13,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
14.0,318,150,4096,13,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
12.0,383,180,4955,11,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
13.0,400,170,4746,12,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
13.0,400,175,5140,12,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
18.0,258,110,2962,13,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
22.0,140,72,2408,19,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
19.0,250,100,3282,15,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
18.0,250,88,3139,14,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
23.0,122,86,2220,14,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
28.0,116,90,2123,14,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
30.0,79,70,2074,19,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
30.0,88,76,2065,14,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
31.0,71,65,1773,19,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
35.0,72,69,1613,18,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
27.0,97,60,1834,19,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
26.0,91,70,1955,20,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
24.0,113,95,2278,15,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
25.0,97,80,2126,17,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
23.0,97,54,2254,23,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
20.0,140,90,2408,19,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
21.0,122,86,2226,16,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
13.0,350,165,4274,12,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
14.0,400,175,4385,12,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
15.0,318,150,4135,13,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
14.0,351,153,4129,13,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
17.0,304,150,3672,11,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
11.0,429,208,4633,11,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
13.0,350,155,4502,13,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
12.0,350,160,4456,13,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
13.0,400,190,4422,12,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
19.0,70,97,2330,13,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
15.0,304,150,3892,12,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
13.0,307,130,4098,14,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
13.0,302,140,4294,16,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
14.0,318,150,4077,14,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
18.0,121,112,2933,14,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
22.0,121,76,2511,18,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
21.0,120,87,2979,19,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
26.0,96,69,2189,18,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
22.0,122,86,2395,16,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
28.0,97,92,2288,17,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
23.0,120,97,2506,14,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
28.0,98,80,2164,15,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
27.0,97,88,2100,16,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
13.0,350,175,4100,13,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
14.0,304,150,3672,11,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
13.0,350,145,3988,13,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
14.0,302,137,4042,14,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
15.0,318,150,3777,12,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
12.0,429,198,4952,11,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
13.0,400,150,4464,12,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
13.0,351,158,4363,13,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
14.0,318,150,4237,14,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
13.0,440,215,4735,11,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
12.0,455,225,4951,11,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
13.0,360,175,3821,11,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
18.0,225,105,3121,16,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
16.0,250,100,3278,18,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
18.0,232,100,2945,16,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
18.0,250,88,3021,16,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
23.0,198,95,2904,16,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
26.0,97,46,1950,21,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
11.0,400,150,4997,14,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
12.0,400,167,4906,12,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
13.0,360,170,4654,13,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
12.0,350,180,4499,12,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
18.0,232,100,2789,15,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
20.0,97,88,2279,19,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
21.0,140,72,2401,19,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
22.0,108,94,2379,16,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
18.0,70,90,2124,13,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
19.0,122,85,2310,18,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
21.0,155,107,2472,14,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
26.0,98,90,2265,15,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
15.0,350,145,4082,13,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
16.0,400,230,4278,9,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
29.0,68,49,1867,19,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
24.0,116,75,2158,15,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
20.0,114,91,2582,14,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
19.0,121,112,2868,15,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
15.0,318,150,3399,11,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
24.0,121,110,2660,14,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
20.0,156,122,2807,13,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
11.0,350,180,3664,11,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
20.0,198,95,3102,16,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
21.0,200,93,2875,17,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
19.0,232,100,2901,16,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
15.0,250,100,3336,17,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
31.0,79,67,1950,19,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
26.0,122,80,2451,16,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
32.0,71,65,1836,21,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
25.0,140,75,2542,17,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
16.0,250,100,3781,17,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
16.0,258,110,3632,18,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
18.0,225,105,3613,16,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
16.0,302,140,4141,14,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
13.0,350,150,4699,14,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
14.0,318,150,4457,13,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
14.0,302,140,4638,16,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
14.0,304,150,4257,15,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
29.0,98,83,2219,16,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
26.0,79,67,1963,15,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
26.0,97,78,2300,14,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
31.0,76,52,1649,16,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
32.0,83,61,2003,19,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
28.0,90,75,2125,14,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
24.0,90,75,2108,15,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
26.0,116,75,2246,14,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
24.0,120,97,2489,15,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
26.0,108,93,2391,15,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
31.0,79,67,2000,16,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
19.0,225,95,3264,16,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
18.0,250,105,3459,16,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
15.0,250,72,3432,21,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
15.0,250,72,3158,19,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
16.0,400,170,4668,11,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
15.0,350,145,4440,14,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
16.0,318,150,4498,14,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
14.0,351,148,4657,13,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
17.0,231,110,3907,21,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
16.0,250,105,3897,18,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
15.0,258,110,3730,19,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
18.0,225,95,3785,19,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
21.0,231,110,3039,15,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
20.0,262,110,3221,13,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
13.0,302,129,3169,12,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
29.0,97,75,2171,16,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
23.0,140,83,2639,17,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
20.0,232,100,2914,16,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
23.0,140,78,2592,18,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
24.0,134,96,2702,13,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
25.0,90,71,2223,16,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
24.0,119,97,2545,17,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
18.0,171,97,2984,14,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
29.0,90,70,1937,14,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
19.0,232,90,3211,17,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
23.0,115,95,2694,15,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
23.0,120,88,2957,17,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
22.0,121,98,2945,14,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
25.0,121,115,2671,13,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
33.0,91,53,1795,17,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
28.0,107,86,2464,15,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
25.0,116,81,2220,16,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
25.0,140,92,2572,14,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
26.0,98,79,2255,17,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
27.0,101,83,2202,15,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
17.5,305,140,4215,13,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
16.0,318,150,4190,13,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
15.5,304,120,3962,13,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
14.5,351,152,4215,12,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
22.0,225,100,3233,15,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
22.0,250,105,3353,14,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
24.0,200,81,3012,17,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
22.5,232,90,3085,17,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
29.0,85,52,2035,22,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
24.5,98,60,2164,22,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
29.0,90,70,1937,14,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
33.0,91,53,1795,17,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
20.0,225,100,3651,17,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
18.0,250,78,3574,21,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
18.5,250,110,3645,16,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
17.5,258,95,3193,17,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
29.5,97,71,1825,12,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
32.0,85,70,1990,17,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
28.0,97,75,2155,16,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
26.5,140,72,2565,13,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
20.0,130,102,3150,15,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
13.0,318,150,3940,13,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
19.0,120,88,3270,21,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
19.0,156,108,2930,15,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
16.5,168,120,3820,16,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
16.5,350,180,4380,12,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
13.0,350,145,4055,12,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
13.0,302,130,3870,15,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
13.0,318,150,3755,14,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
31.5,98,68,2045,18,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
30.0,111,80,2155,14,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
36.0,79,58,1825,18,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
25.5,122,96,2300,15,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
33.5,85,70,1945,16,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
17.5,305,145,3880,12,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
17.0,260,110,4060,19,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
15.5,318,145,4140,13,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
15.0,302,130,4295,14,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
17.5,250,110,3520,16,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
20.5,231,105,3425,16,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
19.0,225,100,3630,17,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
18.5,250,98,3525,19,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
16.0,400,180,4220,11,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
15.5,350,170,4165,11,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
15.5,400,190,4325,12,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
16.0,351,149,4335,14,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
29.0,97,78,1940,14,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
24.5,151,88,2740,16,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
26.0,97,75,2265,18,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
25.5,140,89,2755,15,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
30.5,98,63,2051,17,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
33.5,98,83,2075,15,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
30.0,97,67,1985,16,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
30.5,97,78,2190,14,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
22.0,146,97,2815,14,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
21.5,121,110,2600,12,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
21.5,80,110,2720,13,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
43.1,90,48,1985,21,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
36.1,98,66,1800,14,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
32.8,78,52,1985,19,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
39.4,85,70,2070,18,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
36.1,91,60,1800,16,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
19.9,260,110,3365,15,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
19.4,318,140,3735,13,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
20.2,302,139,3570,12,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
19.2,231,105,3535,19,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
20.5,200,95,3155,18,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
20.2,200,85,2965,15,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
25.1,140,88,2720,15,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
20.5,225,100,3430,17,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
19.4,232,90,3210,17,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
20.6,231,105,3380,15,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
20.8,200,85,3070,16,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
18.6,225,110,3620,18,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
18.1,258,120,3410,15,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
19.2,305,145,3425,13,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
17.7,231,165,3445,13,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
18.1,302,139,3205,11,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
17.5,318,140,4080,13,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
30.0,98,68,2155,16,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
27.5,134,95,2560,14,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
27.2,119,97,2300,14,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
30.9,105,75,2230,14,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
21.1,134,95,2515,14,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
23.2,156,105,2745,16,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
23.8,151,85,2855,17,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
23.9,119,97,2405,14,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
20.3,131,103,2830,15,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
17.0,163,125,3140,13,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
21.6,121,115,2795,15,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
16.2,163,133,3410,15,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
31.5,89,71,1990,14,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
29.5,98,68,2135,16,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
